Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE2-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE3-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE4-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE5-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE1-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE2-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE3-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE4-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE5-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),PLENUM-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE1-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE2-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE3-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE4-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE5-1:Zone Windows Total Heat Gain Energy [J](Hourly),WF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WR-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WL-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WALL-1PF:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PR:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PB:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PL:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),TOP-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),FRONT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),RIGHT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),BACK-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),LEFT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly) 
 07/30  15:00:00,28.674999999999997,3991680.0,1723680.0,3991680.0,1723680.0,7469280.000000001,2433024.0,1050624.0,3041280.0000000005,1050624.0,4552704.0,0.0,5872430.390120242,1982633.6214541784,5421722.3217293685,4480638.608397873,0.0,1430204.9216381318,2031629.5140203496,1041240.100326007,1876972.2861139858,1294502.7539104614,2604794.5305155935,9118893.108074004,1479960.9755436112,2969658.536452641,4095564.972161276,675492008.1716292,15958711.211636981,4439882.926630831,8495170.731327636,12286694.916483821,27.09512898443064,23.898456748950423,23.89856329108705,23.898496711930008,23.89835273999037,23.898115827817918 
 07/30  16:00:00,28.9,3991680.0,1723680.0,3991680.0,1723680.0,7469280.000000001,2128895.9999999995,919296.0,2661119.9999999995,919296.0,3983616.0,0.0,5369313.609291076,1803430.0853892784,4908175.774208843,4391704.429437729,0.0,1084247.8852363348,1983414.0465450343,899245.5803007978,1621008.4802790696,1117970.6580420092,2667451.3006311622,6238970.612263704,1278137.833779709,2564684.4690974425,3719321.0886412505,447124088.9040576,12188507.15787771,3834413.5013391254,7336679.34192629,11157963.265923748,27.306388028287436,23.89839065979249,23.89845812027245,23.89840294909683,23.898377907842228,23.898098998912346 
 07/30  17:00:00,28.9,3991680.0,1723680.0,3991680.0,1723680.0,7469280.000000001,1520640.0,656640.0,1900800.0,656640.0,2845440.0,0.0,4068034.768914792,1356599.5427534035,3657373.224261325,3514709.017087023,0.0,667391.5896277514,1380702.772292251,586038.6363440533,1056411.7523570436,728581.8404494657,2109876.330461747,3651903.8102167146,832962.8408264732,1671405.7003425942,2804498.8893381413,254434018.95936114,7649344.443977676,2498888.5224794187,4781316.306717748,8413496.66801442,27.45854237364142,23.898546421604422,23.898588405247985,23.89855669091645,23.898556564546816,23.898274899909197 
 07/30  18:00:00,28.525,3991680.0,1723680.0,3991680.0,1723680.0,7469280.000000001,1520640.0,656640.0,1900800.0,656640.0,2845440.0,0.0,2745797.77612357,961545.1651106831,2568043.8470745403,2668401.897968836,0.0,383784.3958410911,713410.3740118206,352405.82551223994,635257.8696733797,438122.1117750394,1571042.8205012495,1955268.2839515116,500890.1108870591,1005075.5514510068,2033053.8400923228,137101721.4183576,4379085.357963981,1502670.3326611768,2875175.143085257,6099161.520276966,27.3867630889277,23.898518906994166,23.89854613759014,23.898499122990327,23.898532637005175,23.89816054605738 
 07/30  19:00:00,27.3,2395008.0,1034207.9999999999,2395008.0,1034207.9999999999,4481568.0,912383.9999999999,393984.0,1140480.0,393984.0,1707263.9999999998,0.0,1518701.2647751186,499823.3967187862,1296799.807485599,1793658.964429176,0.0,187241.05698209186,242698.39305270906,135830.76305676642,244852.82287864469,168869.1174952741,1072169.258007267,746070.8990029802,193062.31918976753,387394.7852163098,1371954.4279459233,47285150.965104036,1758025.1503296716,579186.9575693023,1108203.1150860009,4115863.283837768,27.282685285493606,23.82969576930859,23.556186774021125,23.846471886698257,23.832907184913964,23.81943502537868 
 07/30  20:00:00,26.012500000000003,798336.0,344736.0,798336.0,344736.0,1493856.0000000002,912383.9999999999,393984.0,1140480.0,393984.0,1707263.9999999998,0.0,688444.0831408219,211172.19875100756,488231.4303694404,182609.08223381077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.369286006997957,22.873073717717475,22.53010561500843,22.909782317222845,22.647535677747733,22.849751381192874 
 07/30  21:00:00,24.85,798336.0,344736.0,798336.0,344736.0,1493856.0000000002,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,460774.6771558492,117285.20535078435,269317.1748759756,103336.47781559563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.057802886693693,22.837730737929704,22.70121286192302,22.8177512259132,22.832708023391923,22.54737859839637 
 07/30  22:00:00,24.0875,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,280958.7864895968,39284.25062694955,95263.16464106298,28664.078627464616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.506706129547517,22.567831492292584,22.500660845748268,22.524486763508076,22.59778346786682,22.297428714706214 
 07/30  23:00:00,22.8375,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,51075.66464493332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.875443579475586,22.195877469686383,22.163149595666574,22.145011193954634,22.22188447580043,21.99729806241939 
 07/30  24:00:00,21.8875,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.283971024477058,21.86482874179329,21.85060433308208,21.81166619198906,21.88467577748481,21.784615443640273 
